item_id,order_id,product_id,quantity,unit_price,revenue
1,3162,79,2,90.54,181.08
2,1615,16,2,297.21,594.42
3,2737,16,5,297.21,1486.05
4,407,13,2,221.25,442.5
5,3380,78,1,94.44,94.44
6,4198,86,2,265.19,530.38
7,1385,85,2,51.79,103.58
8,3696,73,4,168.62,674.48
9,4500,63,2,69.69,139.38
10,4910,41,3,210.84,632.52
11,2903,53,4,67.28,269.12
12,1630,68,3,60.41,181.23
13,3263,74,3,192.94,578.8199999999999
14,1027,99,1,105.41,105.41
15,2990,9,2,191.6,383.2
16,2225,51,3,214.48,643.4399999999999
17,2921,48,2,76.46,152.92
18,4316,80,2,171.17,342.34
19,4269,49,1,146.09,146.09
20,2784,18,1,297.21,297.21
21,1414,10,3,195.12,585.36
22,4598,85,3,51.79,155.37
23,3649,54,4,259.7,1038.8
24,2809,79,2,90.54,181.08
25,3332,15,2,239.05,478.1
26,2179,11,1,246.84,246.84
27,798,40,1,175.23,175.23
28,2847,47,3,253.41,760.23
29,930,20,4,5.68,22.72
30,4819,98,4,142.76,571.04
31,3092,22,1,105.83,105.83
32,2263,48,1,76.46,76.46
33,1334,82,4,275.45,1101.8
34,1275,16,4,297.21,1188.84
35,4584,5,3,279.13,837.39
36,3481,65,4,68.32,273.28
37,3343,83,2,217.59,435.18
38,1218,74,4,192.94,771.76
39,1465,21,5,18.03,90.15
40,4409,61,4,253.46,1013.84
41,4175,77,1,74.22,74.22
42,4771,55,1,123.39,123.39
43,14,24,5,25.36,126.8
44,2294,23,2,191.71,383.42
45,2046,87,4,248.01,992.04
46,1038,11,4,246.84,987.36
47,4129,47,5,253.41,1267.05
48,1460,2,3,70.12,210.36
49,257,70,3,260.75,782.25
50,4130,53,2,67.28,134.56
51,4074,11,4,246.84,987.36
52,1284,15,4,239.05,956.2
53,3488,73,4,168.62,674.48
54,2185,12,1,103.36,103.36
55,359,36,3,12.23,36.69
56,3792,92,5,60.77,303.85
57,4850,23,1,191.71,191.71
58,3188,27,1,247.47,247.47
59,4500,88,3,217.91,653.73
60,1226,14,4,160.93,643.72
61,2298,54,2,259.7,519.4
62,278,99,5,105.41,527.05
63,4208,27,3,247.47,742.41
64,1987,21,2,18.03,36.06
65,3545,49,3,146.09,438.27
66,2794,62,3,166.95,500.84999999999997
67,392,77,3,74.22,222.66
68,969,72,3,247.32,741.96
69,2191,44,4,261.34,1045.36
70,2229,44,1,261.34,261.34
71,2627,98,3,142.76,428.28
72,2846,61,2,253.46,506.92
73,4365,42,2,6.8,13.6
74,3308,23,2,191.71,383.42
75,2601,73,1,168.62,168.62
76,2681,1,1,291.6,291.6
77,4371,36,2,12.23,24.46
78,4839,55,4,123.39,493.56
79,86,16,1,297.21,297.21
80,3135,89,1,85.11,85.11
81,4500,18,4,297.21,1188.84
82,2240,98,3,142.76,428.28
83,3365,38,1,166.99,166.99
84,2046,67,2,229.09,458.18
85,1055,20,2,5.68,11.36
86,3402,19,4,31.49,125.96
87,3730,13,2,221.25,442.5
88,2670,17,5,64.19,320.95
89,276,78,2,94.44,188.88
90,4747,30,4,211.51,846.04
91,4091,86,4,265.19,1060.76
92,1106,43,4,34.78,139.12
93,4682,48,5,76.46,382.29999999999995
94,2933,43,1,34.78,34.78
95,129,93,3,235.99,707.97
96,4352,66,2,127.76,255.52
97,4327,53,1,67.28,67.28
98,3569,72,4,247.32,989.28
99,2403,78,1,94.44,94.44
100,1648,34,1,87.7,87.7
101,3557,77,5,74.22,371.1
102,3892,74,4,192.94,771.76
103,2194,72,4,247.32,989.28
104,2048,71,2,138.91,277.82
105,3105,13,2,221.25,442.5
106,4356,90,2,123.72,247.44
107,2135,56,2,91.29,182.58
108,843,59,1,11.5,11.5
109,1972,32,1,122.73,122.73
110,4361,83,2,217.59,435.18
111,3904,79,2,90.54,181.08
112,3614,54,2,259.7,519.4
113,392,2,3,70.12,210.36
114,2280,37,2,95.31,190.62
115,901,83,3,217.59,652.77
116,4684,97,2,177.06,354.12
117,2495,33,4,218.33,873.32
118,1153,1,5,291.6,1458.0
119,1295,28,1,243.71,243.71
120,466,17,4,64.19,256.76
121,2176,57,5,49.94,249.7
122,3246,70,3,260.75,782.25
123,488,52,1,201.72,201.72
124,2939,44,3,261.34,784.02
125,2627,84,3,123.43,370.29
126,950,47,1,253.41,253.41
127,4502,13,5,221.25,1106.25
128,1050,76,1,141.64,141.64
129,4076,30,2,211.51,423.02
130,4460,85,3,51.79,155.37
131,1391,66,2,127.76,255.52
132,1084,53,1,67.28,67.28
133,4647,18,1,297.21,297.21
134,1659,28,5,243.71,1218.55
135,4388,4,3,229.97,689.91
136,1818,42,4,6.8,27.2
137,191,6,1,14.01,14.01
138,461,9,4,191.6,766.4
139,2522,20,3,5.68,17.04
140,3477,94,2,215.94,431.88
141,2706,38,3,166.99,500.97
142,4367,68,5,60.41,302.04999999999995
143,1158,50,4,47.83,191.32
144,4267,60,4,177.06,708.24
145,28,13,2,221.25,442.5
146,4232,99,2,105.41,210.82
147,2973,94,1,215.94,215.94
148,3025,42,3,6.8,20.4
149,4984,68,5,60.41,302.04999999999995
150,1265,25,1,6.67,6.67
151,856,31,3,35.8,107.39999999999999
152,4026,12,2,103.36,206.72
153,1252,64,5,14.93,74.65
154,4605,79,2,90.54,181.08
155,3871,61,2,253.46,506.92
156,1327,53,4,67.28,269.12
157,1026,26,3,281.44,844.3199999999999
158,362,61,1,253.46,253.46
