order_id,customer_id,order_date,status,region
1,574,2026-04-13,returned,Midwest
2,598,2025-07-17,completed,Northeast
3,446,2025-06-02,cancelled,Northeast
4,210,2025-10-08,cancelled,West
5,590,2025-09-23,completed,Midwest
6,714,2025-09-12,completed,Southeast
7,302,2025-07-31,completed,West
8,909,2025-07-12,cancelled,Midwest
9,223,2026-05-02,returned,Northeast
10,734,2026-02-24,returned,Midwest
11,3,2025-07-04,completed,
12,990,2026-03-19,completed,West
13,518,2025-12-23,returned,West
14,93,2025-06-06,completed,Southwest
15,520,2025-06-05,completed,Southwest
16,428,2025-07-07,completed,Southwest
17,493,2025-09-09,completed,West
18,235,2025-09-17,completed,Southeast
19,620,2026-02-03,cancelled,West
20,161,2026-03-25,completed,Midwest
21,721,2025-06-03,cancelled,West
22,752,2026-03-04,returned,West
23,331,2025-08-30,returned,Northeast
24,333,2026-04-18,completed,Northeast
25,50,2026-05-15,completed,Northeast
26,523,2026-02-24,returned,West
27,863,2025-12-21,returned,Southeast
28,668,2025-09-10,cancelled,Midwest
29,492,2026-01-05,returned,Midwest
30,582,2026-03-18,completed,Southeast
31,681,2025-10-10,returned,Southeast
32,272,2025-05-24,returned,Midwest
33,580,2025-08-10,completed,Southwest
34,867,2026-05-13,completed,Northeast
35,252,2025-12-23,returned,Northeast
36,560,2025-11-11,completed,Midwest
37,696,2025-10-10,completed,Southeast
38,832,2025-08-08,returned,Southwest
39,699,2025-09-08,returned,Midwest
40,90,2025-11-09,completed,Northeast
41,446,2025-07-12,cancelled,West
42,332,2025-07-07,cancelled,Southeast
43,139,2025-12-01,completed,West
44,357,2025-07-09,completed,Midwest
45,601,2025-11-20,cancelled,Northeast
46,274,2025-11-13,cancelled,Southwest
47,19,2026-03-26,completed,West
48,983,2025-10-03,cancelled,Southwest
49,311,2025-06-12,cancelled,Northeast
50,870,2026-01-11,completed,West
51,886,2026-02-19,returned,Southwest
52,978,2025-07-23,completed,Southwest
53,154,2025-11-30,completed,West
54,390,2025-06-30,completed,Northeast
55,260,2026-02-27,completed,Southwest
56,620,2025-10-18,returned,Midwest
57,883,2026-04-07,completed,West
58,797,2026-04-02,cancelled,Southeast
59,571,2025-11-22,cancelled,Southeast
60,125,2026-03-12,cancelled,Northeast
61,354,2025-08-27,returned,Midwest
62,273,2026-05-16,completed,Southwest
63,619,2025-06-25,returned,Southeast
64,811,2025-06-13,completed,Northeast
65,245,2026-04-24,completed,Midwest
66,848,2025-09-14,completed,Midwest
67,450,2025-10-16,completed,Northeast
68,930,2025-06-30,completed,Northeast
69,247,2025-09-17,completed,Southwest
70,520,2025-07-11,completed,Northeast
71,141,2025-12-01,cancelled,Southwest
72,362,2025-10-10,cancelled,Southwest
73,8,2026-01-08,completed,West
74,478,2026-04-11,completed,Midwest
75,352,2025-11-23,completed,Midwest
76,996,2025-08-12,completed,Midwest
77,495,2025-11-26,returned,West
78,606,2025-11-18,completed,Southwest
79,833,2025-09-05,returned,Southwest
80,427,2026-04-29,completed,Northeast
81,39,2025-10-04,completed,West
82,593,2026-05-15,cancelled,Northeast
83,187,2026-05-05,completed,West
84,596,2026-04-17,completed,Northeast
85,600,2025-06-26,completed,Southeast
86,754,2026-03-28,returned,Midwest
87,854,2026-04-11,completed,Midwest
88,93,2025-08-16,returned,Southwest
89,86,2026-02-18,completed,Southeast
90,44,2025-09-23,completed,Midwest
91,137,2025-08-12,completed,Southwest
92,421,2026-01-12,returned,Southeast
93,74,2025-12-01,completed,Midwest
94,548,2025-10-06,cancelled,Northeast
95,613,2026-04-13,completed,West
96,988,2026-05-08,returned,Southeast
97,512,2026-03-02,returned,Southwest
98,156,2025-09-10,cancelled,Southeast
99,938,2026-05-06,cancelled,Southwest
100,255,2025-11-03,completed,Southeast
101,171,2025-06-18,returned,Southwest
102,981,2025-09-15,completed,Midwest
103,728,2025-06-06,cancelled,Northeast
104,170,2025-10-29,completed,Midwest
105,764,2025-12-12,cancelled,Northeast
106,872,2025-10-05,returned,Midwest
107,322,2025-06-23,cancelled,Midwest
108,567,2025-09-06,returned,
109,456,2026-03-07,cancelled,West
110,944,2025-10-29,completed,Southwest
111,603,2025-09-06,cancelled,Southwest
112,790,2026-04-21,completed,Southwest
113,613,2026-01-31,completed,Northeast
114,155,2025-12-09,completed,Southwest
115,889,2026-04-15,returned,Southwest
116,349,2026-01-10,cancelled,Southeast
117,451,2025-08-02,cancelled,Midwest
118,876,2025-10-03,completed,Southwest
119,653,2025-07-31,cancelled,West
120,173,2025-09-24,returned,Southwest
121,10,2026-03-04,returned,Northeast
122,740,2026-02-20,cancelled,Northeast
123,265,2025-10-02,completed,Northeast
124,438,2026-03-16,completed,Southwest
125,760,2025-12-26,returned,Southeast
126,247,2026-03-15,completed,West
127,667,2025-12-11,completed,Southwest
128,546,2025-11-22,returned,Southeast
129,499,2025-09-10,completed,Southeast
130,129,2025-07-30,completed,Southwest
131,672,2026-02-05,returned,Southwest
132,601,2026-01-28,cancelled,Southeast
133,605,2025-07-06,cancelled,Southeast
134,327,2025-06-14,completed,Southeast
135,753,2025-07-16,cancelled,Southwest
136,835,2025-08-07,completed,Southeast
137,980,2026-04-07,cancelled,Northeast
138,404,2025-08-10,completed,Southwest
139,629,2026-05-04,completed,Northeast
140,606,2025-12-23,completed,Midwest
141,675,2026-03-22,cancelled,Southwest
142,611,2025-06-22,completed,Midwest
143,625,2025-12-04,completed,Southeast
144,359,2025-12-02,completed,Southeast
145,603,2026-03-22,completed,West
146,858,2026-01-15,cancelled,Southeast
147,718,2026-02-15,cancelled,Midwest
148,17,2025-09-26,completed,Southeast
149,274,2026-02-28,completed,Southwest
150,685,2025-05-26,completed,Southeast
151,116,2026-05-04,cancelled,West
152,861,2025-07-18,returned,Southeast
153,980,2026-05-05,cancelled,Midwest
154,693,2026-02-19,cancelled,Midwest
155,91,2025-10-04,returned,Southeast
156,82,2026-04-14,cancelled,Midwest
157,324,2025-11-11,completed,Midwest
158,961,2025-07-17,returned,West
159,114,2025-10-18,completed,Southwest
160,769,2025-12-29,cancelled,West
161,58,2025-08-09,completed,Northeast
162,154,2026-01-08,completed,West
163,877,2025-05-22,returned,Southeast
164,404,2025-10-02,completed,Southwest
165,628,2026-02-01,completed,Southeast
166,855,2025-08-20,completed,Northeast
167,266,2026-02-04,completed,Southwest
168,315,2025-07-14,completed,Midwest
169,715,2026-04-06,completed,West
170,41,2025-10-20,completed,Southeast
171,105,2026-04-13,completed,Northeast
172,901,2026-02-04,completed,Midwest
173,890,2026-03-28,completed,West
174,193,2025-08-30,completed,Midwest
175,401,2025-08-07,completed,West
176,278,2025-11-28,cancelled,Southwest
177,354,2025-08-11,completed,Midwest
178,749,2026-02-21,completed,Midwest
179,937,2026-02-16,returned,Midwest
180,733,2025-05-21,completed,Southwest
181,580,2026-03-23,cancelled,Northeast
182,709,2025-11-02,cancelled,West
183,256,2026-01-26,completed,Midwest
184,651,2025-05-30,cancelled,Southwest
185,824,2025-07-17,returned,Northeast
186,947,2025-11-22,completed,West
187,661,2025-10-25,cancelled,Southwest
188,99,2025-09-20,completed,West
189,588,2025-06-19,completed,Midwest
190,282,2025-09-21,returned,Northeast
191,883,2026-03-07,returned,Southwest
192,403,2025-06-30,returned,Northeast
193,109,2025-07-03,completed,Midwest
